data,preco_r$_sc50kg,preco_us$
2024-04-18,150.58,28.7
2024-04-19,150.29,28.93
2024-04-22,148.22,28.65
2024-04-23,148.44,28.94
2024-04-24,147.83,28.72
2024-04-25,147.16,28.49
2024-04-26,146.63,28.66
2024-04-29,144.98,28.36
2024-04-30,143.54,27.66
2024-05-02,143.98,28.16
2024-05-03,143.2,28.24
2024-05-06,142.7,28.12
2024-05-07,142.02,28.0
2024-05-08,143.36,28.14
2024-05-09,139.38,27.1
2024-05-10,138.8,26.92
2024-05-13,139.6,27.1
2024-05-14,138.11,26.92
2024-05-15,139.63,27.18
2024-05-16,137.84,26.87
2024-05-17,137.51,26.94
2024-05-20,136.02,26.62
2024-05-21,135.63,26.52
2024-05-22,137.2,26.62
2024-05-23,139.44,27.05
2024-05-24,138.85,26.84
2024-05-27,137.29,26.55
2024-05-28,136.55,26.46
2024-05-29,135.59,26.06
2024-05-31,135.81,25.83
2024-06-03,135.32,25.86
2024-06-04,135.02,25.53
2024-06-05,134.31,25.35
2024-06-06,135.66,25.82
2024-06-07,135.01,25.4
2024-06-10,134.94,25.2
2024-06-11,136.55,25.48
2024-06-12,138.64,25.64
2024-06-13,136.41,25.39
2024-06-14,136.73,25.43
2024-06-17,136.28,25.12
2024-06-18,136.69,25.16
2024-06-19,136.12,24.98
2024-06-20,137.53,25.4
2024-06-21,137.95,25.33
2024-06-24,136.87,25.38
2024-06-25,135.13,24.79
2024-06-26,133.44,24.2
2024-06-27,133.23,24.22
2024-06-28,132.86,23.78
2024-07-01,132.35,23.47
2024-07-02,132.54,23.45
2024-07-03,133.94,24.08
2024-07-04,133.98,24.43
2024-07-05,133.39,24.4
2024-07-08,132.9,24.26
2024-07-09,132.9,24.26
2024-07-10,132.94,24.56
2024-07-11,132.98,24.43
2024-07-12,132.05,24.31
2024-07-15,132.45,24.32
2024-07-16,132.19,24.33
2024-07-17,135.13,24.64
2024-07-18,134.27,24.06
2024-07-19,133.36,23.82
2024-07-22,132.48,23.77
2024-07-23,133.04,23.79
2024-07-24,134.34,23.75
2024-07-25,132.31,23.45
2024-07-26,133.0,23.49
2024-07-29,133.19,23.66
2024-07-30,132.38,23.54
2024-07-31,133.79,23.63
2024-08-01,132.48,23.09
2024-08-02,132.07,23.13
2024-08-05,132.68,23.14
2024-08-06,131.44,23.26
2024-08-07,131.35,23.35
