data,esp_long,esp_short,esp_net,com_long,com_short,com_net,idx_long,idx_short,idx_net,open_interest,produto,fonte
2024-02-27,160308,129666,30642,350767,546094,-195327,234155,69468,164687,991472,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-03-05,150113,150025,88,358302,519460,-161158,235241,74171,161070,1018600,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-03-12,159541,141203,18338,364397,524222,-159825,214807,73319,141488,997591,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-03-19,152263,137567,14696,376157,541798,-165641,219543,68597,150946,1006177,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-03-26,171455,129190,42265,367275,553762,-186487,220605,76383,144222,1010825,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-04-02,182771,128069,54702,361500,567267,-205767,226931,75867,151064,1016901,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-04-09,178198,145160,33038,373737,557974,-184237,223796,72596,151200,1006558,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-04-16,164637,187713,-23076,366980,508754,-141774,233701,68851,164850,958466,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-04-23,160621,195071,-34450,371837,500860,-129023,238335,74862,163473,975913,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-04-30,152275,200682,-48407,379583,497888,-118305,246238,79528,166710,983132,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-05-07,156220,203905,-47685,357860,473966,-116106,244866,81075,163791,977882,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-05-14,146866,219407,-72541,369242,466780,-97538,246233,76155,170078,991735,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-05-21,147118,231918,-84800,394083,476992,-82909,249476,81767,167709,1016817,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-05-28,153030,234509,-81479,391342,475759,-84417,250010,84114,165896,1035917,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-06-04,154783,236508,-81725,393895,474300,-80405,245641,83511,162130,1047600,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-06-11,156780,228431,-71651,399528,485164,-85636,226453,69167,157286,1027963,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-06-18,152595,206651,-54056,376052,491961,-115909,232391,62426,169965,951473,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-06-25,153252,182414,-29162,365832,511767,-145935,234601,59505,175096,944816,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-07-02,159579,150673,8906,339862,517452,-177590,225366,56682,168684,928716,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-07-09,152706,146167,6539,347159,523785,-176626,220761,50674,170087,920207,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-07-16,149340,147959,1381,354165,524932,-170767,218232,48847,169385,905953,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-07-23,138195,183705,-45510,371587,490361,-118774,219966,55682,164284,928685,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-07-30,145741,186219,-40478,376386,496199,-119813,217742,57450,160292,939030,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-08-06,145378,208140,-62762,388212,485154,-96942,215842,56137,159705,955730,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-08-13,148027,193801,-45774,380248,490416,-110168,215389,59447,155942,963137,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-08-20,144056,215015,-70959,394660,482066,-87406,215918,57553,158365,974043,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-08-27,147023,178143,-31120,401632,533783,-132151,224392,61121,163271,1002177,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-09-03,150185,158919,-8734,402948,564534,-161586,224481,54161,170320,1005338,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-09-10,142483,162225,-19742,407426,556393,-148967,211564,42855,168709,991178,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
