data,estado,produto,preco_medio,preco_min,preco_max,n_postos
2024-07-27,MS,hidratado,3.84,3.52,4.98,46
2024-07-27,MT,gasolina_c,5.97,5.55,6.69,60
2024-07-27,MT,hidratado,3.69,3.45,4.29,60
2024-07-27,PA,gasolina_c,6.15,5.61,7.35,82
2024-07-27,PA,hidratado,4.67,4.27,5.49,39
2024-07-27,PB,gasolina_c,6.17,6.05,6.29,49
2024-07-27,PB,hidratado,4.68,4.44,4.94,43
2024-07-27,PE,gasolina_c,6.23,5.73,6.79,166
2024-07-27,PE,hidratado,4.83,3.99,5.3,138
2024-07-27,PI,gasolina_c,5.99,5.85,6.34,47
2024-07-27,PI,hidratado,4.39,4.19,4.99,36
2024-07-27,PR,gasolina_c,6.18,5.49,6.59,230
2024-07-27,PR,hidratado,4.33,3.59,4.89,228
2024-07-27,RJ,gasolina_c,6.02,5.39,7.79,326
2024-07-27,RJ,hidratado,4.39,3.89,5.65,304
2024-07-27,RN,gasolina_c,6.62,6.27,6.79,51
2024-07-27,RN,hidratado,5.49,4.89,5.79,49
2024-07-27,RO,gasolina_c,6.83,6.39,6.92,35
2024-07-27,RO,hidratado,4.95,4.61,5.19,12
2024-07-27,RR,gasolina_c,6.3,6.24,6.37,17
2024-07-27,RR,hidratado,4.81,4.79,4.87,4
2024-07-27,RS,gasolina_c,6.15,5.29,7.25,318
2024-07-27,RS,hidratado,4.71,4.08,5.99,131
2024-07-27,SC,gasolina_c,6.15,5.74,6.49,157
2024-07-27,SC,hidratado,4.48,4.09,6.06,94
2024-07-27,SE,gasolina_c,6.36,6.15,6.59,32
2024-07-27,SE,hidratado,4.82,4.65,4.99,21
2024-07-27,SP,gasolina_c,5.85,4.79,7.99,1188
2024-07-27,SP,hidratado,3.91,3.09,5.79,1170
2024-07-27,TO,gasolina_c,6.48,5.69,6.79,42
2024-07-27,TO,hidratado,4.61,3.9,4.99,34
2024-08-03,AC,gasolina_c,7.23,7.14,7.55,22
2024-08-03,AC,hidratado,4.95,4.79,5.54,16
2024-08-03,AL,gasolina_c,6.26,5.98,6.94,53
2024-08-03,AL,hidratado,4.87,4.45,5.12,50
2024-08-03,AM,gasolina_c,6.9,6.85,7.68,53
2024-08-03,AM,hidratado,4.89,4.59,5.29,40
2024-08-03,AP,gasolina_c,6.03,5.89,6.15,6
2024-08-03,AP,hidratado,5.24,5.24,5.24,1
2024-08-03,BA,gasolina_c,6.39,5.67,6.78,252
2024-08-03,BA,hidratado,4.71,4.17,5.59,242
2024-08-03,CE,gasolina_c,6.38,5.83,6.79,121
2024-08-03,CE,hidratado,5.11,4.39,5.49,102
2024-08-03,DF,gasolina_c,6.07,5.58,6.19,49
2024-08-03,DF,hidratado,4.22,3.96,4.45,29
2024-08-03,ES,gasolina_c,6.25,5.89,6.89,84
2024-08-03,ES,hidratado,4.39,3.99,4.99,57
2024-08-03,GO,gasolina_c,6.12,5.69,6.47,188
2024-08-03,GO,hidratado,4.1,3.73,4.49,187
2024-08-03,MA,gasolina_c,6.04,5.45,6.95,91
2024-08-03,MA,hidratado,4.59,4.28,6.01,55
2024-08-03,MG,gasolina_c,6.17,5.43,6.79,452
2024-08-03,MG,hidratado,4.25,3.64,4.99,434
2024-08-03,MS,gasolina_c,5.87,5.49,7.09,63
2024-08-03,MS,hidratado,3.85,3.57,4.98,42
2024-08-03,MT,gasolina_c,5.89,5.55,6.69,55
2024-08-03,MT,hidratado,3.57,3.39,4.29,55
2024-08-03,PA,gasolina_c,6.26,5.62,7.35,63
2024-08-03,PA,hidratado,4.85,4.35,5.48,23
2024-08-03,PB,gasolina_c,6.16,5.99,6.29,66
2024-08-03,PB,hidratado,4.63,4.39,4.89,58
2024-08-03,PE,gasolina_c,6.18,5.73,7.29,167
2024-08-03,PE,hidratado,4.79,3.99,5.99,145
2024-08-03,PI,gasolina_c,6.0,5.8,6.39,59
2024-08-03,PI,hidratado,4.44,4.29,4.99,41
2024-08-03,PR,gasolina_c,6.17,5.49,6.51,230
2024-08-03,PR,hidratado,4.33,3.65,4.89,227
2024-08-03,RJ,gasolina_c,6.01,5.39,7.79,312
2024-08-03,RJ,hidratado,4.39,3.84,5.65,287
2024-08-03,RN,gasolina_c,6.64,6.39,6.79,51
2024-08-03,RN,hidratado,5.43,4.99,5.79,47
2024-08-03,RO,gasolina_c,6.77,6.28,6.92,40
2024-08-03,RO,hidratado,5.02,4.71,5.19,15
2024-08-03,RR,gasolina_c,6.3,6.2,6.37,17
2024-08-03,RR,hidratado,4.81,4.79,4.87,4
2024-08-03,RS,gasolina_c,6.14,5.78,7.25,313
2024-08-03,RS,hidratado,4.7,4.19,5.93,130
2024-08-03,SC,gasolina_c,6.13,5.58,6.39,154
2024-08-03,SC,hidratado,4.45,4.09,4.99,89
2024-08-03,SE,gasolina_c,6.46,6.29,6.53,31
2024-08-03,SE,hidratado,4.86,4.65,4.99,21
2024-08-03,SP,gasolina_c,5.87,4.74,7.99,1175
2024-08-03,SP,hidratado,3.91,3.24,5.79,1163
2024-08-03,TO,gasolina_c,6.49,5.76,6.77,42
2024-08-03,TO,hidratado,4.6,3.9,4.99,34
2024-08-10,AC,gasolina_c,7.23,7.14,7.55,22
2024-08-10,AC,hidratado,4.94,4.79,5.54,15
2024-08-10,AL,gasolina_c,6.27,5.89,6.94,53
2024-08-10,AL,hidratado,4.93,4.59,5.12,49
2024-08-10,AM,gasolina_c,6.91,6.85,7.68,55
2024-08-10,AM,hidratado,4.88,4.69,4.89,37
2024-08-10,AP,gasolina_c,5.97,5.81,6.46,23
2024-08-10,AP,hidratado,5.13,4.69,5.39,5
2024-08-10,BA,gasolina_c,6.39,5.67,6.85,231
2024-08-10,BA,hidratado,4.71,4.17,4.99,220
2024-08-10,CE,gasolina_c,6.27,5.79,6.83,118
2024-08-10,CE,hidratado,5.06,4.39,5.49,104
2024-08-10,DF,gasolina_c,6.09,5.69,6.29,49
2024-08-10,DF,hidratado,4.19,3.97,4.25,28
2024-08-10,ES,gasolina_c,6.24,5.89,6.89,84
2024-08-10,ES,hidratado,4.41,3.99,4.99,59
2024-08-10,GO,gasolina_c,5.97,5.49,6.47,182
2024-08-10,GO,hidratado,3.96,3.49,5.89,176
2024-08-10,MA,gasolina_c,6.04,5.32,6.95,107
2024-08-10,MA,hidratado,4.61,4.28,6.01,64
2024-08-10,MG,gasolina_c,6.2,5.44,6.79,444
2024-08-10,MG,hidratado,4.26,3.63,4.99,424
2024-08-10,MS,gasolina_c,5.88,5.49,7.09,63
2024-08-10,MS,hidratado,3.88,3.59,4.98,45
2024-08-10,MT,gasolina_c,6.06,5.63,6.69,55
2024-08-10,MT,hidratado,3.87,3.47,4.29,55
2024-08-10,PA,gasolina_c,6.33,5.62,7.35,79
2024-08-10,PA,hidratado,4.88,4.45,5.79,31
2024-08-10,PB,gasolina_c,6.13,5.29,6.29,66
2024-08-10,PB,hidratado,4.63,4.39,4.94,59
2024-08-10,PE,gasolina_c,6.12,5.53,6.79,167
2024-08-10,PE,hidratado,4.74,3.99,5.3,143
2024-08-10,PI,gasolina_c,6.0,5.87,6.39,59
2024-08-10,PI,hidratado,4.45,4.27,4.99,40
2024-08-10,PR,gasolina_c,6.16,5.44,6.59,250
2024-08-10,PR,hidratado,4.13,3.65,4.89,251
2024-08-10,RJ,gasolina_c,6.02,5.39,7.79,319
2024-08-10,RJ,hidratado,4.39,3.84,5.7,292
2024-08-10,RN,gasolina_c,6.65,6.39,6.79,43
2024-08-10,RN,hidratado,5.44,4.99,5.79,43
2024-08-10,RO,gasolina_c,6.82,6.39,6.92,38
2024-08-10,RO,hidratado,5.03,4.69,5.39,20
2024-08-10,RR,gasolina_c,6.3,6.2,6.37,17
2024-08-10,RR,hidratado,4.81,4.79,4.87,4
2024-08-10,RS,gasolina_c,6.14,5.77,7.25,300
2024-08-10,RS,hidratado,4.72,4.19,6.14,115
2024-08-10,SC,gasolina_c,6.12,5.81,6.39,149
2024-08-10,SC,hidratado,4.43,4.09,6.06,96
2024-08-10,SE,gasolina_c,6.44,6.29,6.53,32
2024-08-10,SE,hidratado,4.85,4.65,4.99,19
2024-08-10,SP,gasolina_c,5.92,4.99,7.99,1101
2024-08-10,SP,hidratado,3.92,3.29,5.89,1088
2024-08-10,TO,gasolina_c,6.51,5.81,6.69,41
2024-08-10,TO,hidratado,4.63,3.99,4.99,36
2024-08-17,AC,gasolina_c,7.24,7.14,7.58,22
2024-08-17,AC,hidratado,4.96,4.79,5.54,14
2024-08-17,AL,gasolina_c,6.26,5.89,6.94,52
2024-08-17,AL,hidratado,4.96,4.49,5.12,51
